Product_name,Brand,Item_id,Swiper_count,Price
Clean Fresh Skin Milk Foundation,CoverGirl,2556829,8,$12.49
Say What?! Foundation,UOMA Beauty,2593663,5,$19.50
Lock-It Foundation,KVD Beauty,2570570,6,$40.50
Velvet Matte Longwear Foundation,ULTA Beauty Collection,2560234,4,$4.80
Keep Me Covered Long-Lasting Foundation,Essence,2603112,4,$6.99
Travel Size Shape Tape Cloud Cream Broad Spectrum SPF 15 Sunscreen,Tarte,2590169,3,$18.00
nan,nan,2607365,nan,nan
Sheer Skin Tinted Foundation,L.A. Girl,2581633,6,$4.49
Get Real Serum Foundation,FLOWER Beauty,2577491,6,$17.00
Moisturizing Complexion Stick,ULTA Beauty Collection,2620514,5,$9.60
Illusion Hyaluronic Skin Tint,HOURGLASS,2575959,nan,$56.00
Refillable Compact,jane iredale,2595249,nan,$16.00
Pro.Matte Foundation,L.A. Girl,2522793,2,$9.00
nan,nan,2553269,nan,nan
Camo Powder Foundation,e.l.f. Cosmetics,2597461,7,$11.00
Velvet Veil Minerals Powder Foundation,ULTA Beauty Collection,2617164,6,$9.60
Flawless Satin Foundation,e.l.f. Cosmetics,2554506,7,$6.00
PRO Soft Focus Longwear Foundation,LORAC,2558415,6,$38.00
Bio Powder Foundation,Well People,2553264,8,$27.00
TRUE COLOR Mineral Matte CrÃ¨me Powder Foundation SPF 15,BLK/OPL,2578383,2,$8.97
Keep Me Covered Powder,Essence,2618266,4,$5.99
Studio Radiance Face And Body Radiant Sheer Foundation,MAC,2579193,6,$42.00
Foundation Pump,NARS,2519621,nan,$6.00
TRUE COLOR Pore Perfecting CrÃ¨me Powder Foundation,BLK/OPL,2579249,2,$8.97
Pore Perfecting Liquid Foundation,BLK/OPL,2578400,8,$8.97
Kind Tint Tinted Serum,Pacifica,2591360,6,$9.80
nan,nan,2564466,nan,nan
Skin by Mented Foundation,mented cosmetics,2578537,3,$21.00
Studio Skin 24 Hour Full Coverage Waterproof Foundation,Smashbox,2552423,6,$3.80
Trick and Treat CCÂ² Active Propolis Color Correcting Cream With Broad Spectrum SPF 45,Hey Honey,2563933,7,$42.00
COMPLEXION RESCUE Natural Matte Tinted Moisturizer Mineral SPF 30,bareMinerals,2605209,10,$39.00
