,Item_id,pros,cons,rating,num_reviews,5_stars,4_stars,3_stars,2_stars,1_star
168,2564796,['No Pros'],['No Cons'],2.0,1 Review,0,0,0,1,0
169,2594849,['No Pros'],['No Cons'],4.3,286 Reviews,180,55,24,11,16
170,2628402,['No Pros'],['No Cons'],4.8,864 Reviews,740,98,17,5,4
171,2617738,['No Pros'],['No Cons'],4.7,3482 Reviews,2794,504,121,36,27
172,2621261,['No Pros'],['No Cons'],4.7,505 Reviews,415,52,18,10,10
173,2583745,"['1Highly pigmented', '1Easy application']",['No Cons'],4.7,526 Reviews,456,37,10,10,13
174,2625272,['No Pros'],['No Cons'],4.7,542 Reviews,410,104,14,8,6
175,2598116,['No Pros'],['No Cons'],4.3,245 Reviews,165,33,15,16,16
176,2617037,['No Pros'],['No Cons'],4.7,1077 Reviews,857,156,42,13,9
177,2622622,['No Pros'],['No Cons'],4.7,7 Reviews,5,2,0,0,0
178,2592449,['No Pros'],['No Cons'],4.5,129 Reviews,95,16,6,10,2
179,2603018,['No Pros'],['No Cons'],4.2,127 Reviews,78,22,12,7,8
180,2618995,['No Pros'],['No Cons'],4.5,54 Reviews,44,1,3,2,4
181,2624270,['No Pros'],['No Cons'],4.7,369 Reviews,269,81,13,3,3
182,2619515,['No Pros'],['No Cons'],4.5,797 Reviews,514,209,54,15,5
183,2610305,['No Pros'],['No Cons'],3.8,211 Reviews,107,33,19,31,21
184,2611433,['No Pros'],['No Cons'],4.7,609 Reviews,460,117,23,4,5
185,2624893,['No Pros'],['No Cons'],4.3,389 Reviews,242,72,43,19,13
186,2609193,['No Pros'],['No Cons'],4.7,207 Reviews,178,11,6,2,10
187,2625628,['No Pros'],['No Cons'],4.6,281 Reviews,195,72,12,1,1
188,2619322,['No Pros'],['No Cons'],4.4,8 Reviews,4,3,1,0,0
189,2621808,"['3Easy to Use', '3Effective', '3Feels Great on Skin', '3Good Color Coverage', '3Good Texture']",['No Cons'],4.7,1331 Reviews,1014,254,47,10,6
190,2618682,['No Pros'],['No Cons'],4.8,59 Reviews,52,4,1,1,1
